No.;Gender;Age;Secundary education;Graduation;First education;Specialization of first education;Second education;Specialization of second education;Third education;Specialization of third education;Total work experience;Experience in public administration;Experience in a municipal institution;Experience in the private sector;Experience in an international organization;Experience relevant to the job role;Native language;Ministry;The industry;Position group;Position;Decision;Year of publication;Duties of the position;Job requirements;Institutions
14;S;n/a;n/a;n/a;Bakalaurs;Tiesību zinātnēs;n/a;n/a;n/a;n/a;2004;Jā;Nē;Nē;Nē;4;LV;TM;Personālvadība;Zemākā līmeņa vadītājs;Nodaļas vadītāja vietnieks;noraidīts;2024;"Tu piedalīsies personāla vadības stratēģijas, politikas, mērķu izstrādē un pilnveidē, kā arī nodrošināsi to ieviešanu iestādē; Tev būs jānodrošina personālvadības lietvedības procesi; Kompetences ietvaros tev būs jāsagatavo iekšējie normatīvie akti; Tu nodrošināsi Tiesu iestāžu darbinieku un administrācijas nodarbināto personāla vadības procesus; Piedalīsies Personālvadības informācijas sistēmu pilnveidē.";"Otrā līmeņa augstākā izglītība (vēlams tiesību zinātnēs vai personāla vadībā) un atbilstība; Valsts civildienesta likuma 7.panta prasībām; Vēlama 2 gadu profesionālā  darba pieredze personālvadības jomā valsts pārvaldē; Valsts valodas zināšanas augstākajā līmenī.";Court Administration
15;S;n/a;n/a;n/a;Bakalaurs;Personālvadība;Maģistrs (profesionālais grāds);Nekustamā īpašuma ekonomista kvalifikācija;n/a;n/a;2016;Jā;Jā;Jā;Nē;0;LV;TM;Personālvadība;Zemākā līmeņa vadītājs;Nodaļas vadītāja vietnieks;noraidīts;2024;"Tu piedalīsies personāla vadības stratēģijas, politikas, mērķu izstrādē un pilnveidē, kā arī nodrošināsi to ieviešanu iestādē; Tev būs jānodrošina personālvadības lietvedības procesi; Kompetences ietvaros tev būs jāsagatavo iekšējie normatīvie akti; Tu nodrošināsi Tiesu iestāžu darbinieku un administrācijas nodarbināto personāla vadības procesus; Piedalīsies Personālvadības informācijas sistēmu pilnveidē.";"Otrā līmeņa augstākā izglītība (vēlams tiesību zinātnēs vai personāla vadībā) un atbilstība; Valsts civildienesta likuma 7.panta prasībām; Vēlama 2 gadu profesionālā  darba pieredze personālvadības jomā valsts pārvaldē; Valsts valodas zināšanas augstākajā līmenī.";Court Administration
16;S;n/a;n/a;n/a;Bakalaurs;Tiesību zinātnēs;Maģistrs;Tiesību zinātnēs;n/a;n/a;2007;Jā;Jā;Jā;Nē;3;LV;TM;Personālvadība;Zemākā līmeņa vadītājs;Nodaļas vadītāja vietnieks;noraidīts;2024;"Tu piedalīsies personāla vadības stratēģijas, politikas, mērķu izstrādē un pilnveidē, kā arī nodrošināsi to ieviešanu iestādē; Tev būs jānodrošina personālvadības lietvedības procesi; Kompetences ietvaros tev būs jāsagatavo iekšējie normatīvie akti; Tu nodrošināsi Tiesu iestāžu darbinieku un administrācijas nodarbināto personāla vadības procesus; Piedalīsies Personālvadības informācijas sistēmu pilnveidē.";"Otrā līmeņa augstākā izglītība (vēlams tiesību zinātnēs vai personāla vadībā) un atbilstība; Valsts civildienesta likuma 7.panta prasībām; Vēlama 2 gadu profesionālā  darba pieredze personālvadības jomā valsts pārvaldē; Valsts valodas zināšanas augstākajā līmenī.";Court Administration
17;S;1970;n/a;n/a;Bakalaurs;Ekonomists;n/a;n/a;n/a;n/a;1988;Jā;Nē;Jā;Nē;0;LV;TM;Personālvadība;Zemākā līmeņa vadītājs;Nodaļas vadītāja vietnieks;noraidīts;2024;"Tu piedalīsies personāla vadības stratēģijas, politikas, mērķu izstrādē un pilnveidē, kā arī nodrošināsi to ieviešanu iestādē; Tev būs jānodrošina personālvadības lietvedības procesi; Kompetences ietvaros tev būs jāsagatavo iekšējie normatīvie akti; Tu nodrošināsi Tiesu iestāžu darbinieku un administrācijas nodarbināto personāla vadības procesus; Piedalīsies Personālvadības informācijas sistēmu pilnveidē.";"Otrā līmeņa augstākā izglītība (vēlams tiesību zinātnēs vai personāla vadībā) un atbilstība; Valsts civildienesta likuma 7.panta prasībām; Vēlama 2 gadu profesionālā  darba pieredze personālvadības jomā valsts pārvaldē; Valsts valodas zināšanas augstākajā līmenī.";Court Administration
18;S;n/a;n/a;n/a;Bakalaurs;Sākumskolas pedagogs-psihologs;Bakalaurs;Nodokļu ekonomists;Maģistrs (profesionālais grāds);Sabiedrības vadībā;1988;Jā;Nē;Jā;Nē;4;LV;TM;Personālvadība;Zemākā līmeņa vadītājs;Nodaļas vadītāja vietnieks;noraidīts;2024;"Tu piedalīsies personāla vadības stratēģijas, politikas, mērķu izstrādē un pilnveidē, kā arī nodrošināsi to ieviešanu iestādē; Tev būs jānodrošina personālvadības lietvedības procesi; Kompetences ietvaros tev būs jāsagatavo iekšējie normatīvie akti; Tu nodrošināsi Tiesu iestāžu darbinieku un administrācijas nodarbināto personāla vadības procesus; Piedalīsies Personālvadības informācijas sistēmu pilnveidē.";"Otrā līmeņa augstākā izglītība (vēlams tiesību zinātnēs vai personāla vadībā) un atbilstība; Valsts civildienesta likuma 7.panta prasībām; Vēlama 2 gadu profesionālā  darba pieredze personālvadības jomā valsts pārvaldē; Valsts valodas zināšanas augstākajā līmenī.";Court Administration
19;S;n/a;n/a;n/a;Bakalaurs;Tiesību zinātnēs;Maģistrs;Tiesību zinātnēs;n/a;n/a;2009;Jā;Nē;Jā;Nē;0;LV;TM;Personālvadība;Zemākā līmeņa vadītājs;Nodaļas vadītāja vietnieks;noraidīts;2024;"Tu piedalīsies personāla vadības stratēģijas, politikas, mērķu izstrādē un pilnveidē, kā arī nodrošināsi to ieviešanu iestādē; Tev būs jānodrošina personālvadības lietvedības procesi; Kompetences ietvaros tev būs jāsagatavo iekšējie normatīvie akti; Tu nodrošināsi Tiesu iestāžu darbinieku un administrācijas nodarbināto personāla vadības procesus; Piedalīsies Personālvadības informācijas sistēmu pilnveidē.";"Otrā līmeņa augstākā izglītība (vēlams tiesību zinātnēs vai personāla vadībā) un atbilstība; Valsts civildienesta likuma 7.panta prasībām; Vēlama 2 gadu profesionālā  darba pieredze personālvadības jomā valsts pārvaldē; Valsts valodas zināšanas augstākajā līmenī.";Court Administration
20;S;n/a;n/a;n/a;Bakalaurs;Tiesību zinātnēs;Maģistrs;Tiesību zinātnēs;n/a;n/a;2006;Jā;Nē;Nē;Nē;0;LV;TM;Projekta vadība;Vidējā līmeņa vadītājs;Departamenta vadītājs;noraidīts;2023;"Tu vadīsi projekta “Tieslietu akadēmijas izveide” ieviešanu, tai skaitā, mācību programmu izstrādi; Tu koordinēsi tiesnešu, prokuroru, tiesu un prokuratūras darbinieku apmācību procesu; Tu sadarbosies attīstības pasākumu plānošanā un ieviešanā tiesu darba efektivitātes un kvalitātes celšanai; Tu nodrošināsi starptautisko sadarbību departamenta kompetences jomā, tai skaitā, ar starptautiskām organizācijām.";"Atbilstība Valsts civildienesta likuma 7.panta prasībām; Maģistra grāds tiesību zinātnē vai citās sociālajās zinātnēs; Trīs gadu pieredze vadošā amatā; Vēlama pieredze sadarbībā ar starptautiskajām organizācijām tieslietu jomā; Pieredze ārvalstu finanšu instrumentu projektu plānošanā un ieviešanā; Teicamas angļu valodas zināšanas (vismaz C1 līmenis); Zināšanas un izpratne par Latvijas tiesu sistēmu; Izpratne par valsts pārvaldes uzbūvi un darbības pamatprincipiem; Sistemātiska pieeja jautājumu risināšanā, spēja uztvert un analizēt sarežģītu, liela apjoma informāciju dažādās jomās.";Court Administration
21;S;n/a;n/a;n/a;Bakalaurs;Psiholoģijā;Maģistrs;Ekonomikā ;n/a;n/a;1998;Jā;Jā;Jā;Jā;3;LV;TM;Projekta vadība;Vidējā līmeņa vadītājs;Departamenta vadītājs;noraidīts;2023;"Tu vadīsi projekta “Tieslietu akadēmijas izveide” ieviešanu, tai skaitā, mācību programmu izstrādi; Tu koordinēsi tiesnešu, prokuroru, tiesu un prokuratūras darbinieku apmācību procesu; Tu sadarbosies attīstības pasākumu plānošanā un ieviešanā tiesu darba efektivitātes un kvalitātes celšanai; Tu nodrošināsi starptautisko sadarbību departamenta kompetences jomā, tai skaitā, ar starptautiskām organizācijām.";"Atbilstība Valsts civildienesta likuma 7.panta prasībām; Maģistra grāds tiesību zinātnē vai citās sociālajās zinātnēs; Trīs gadu pieredze vadošā amatā; Vēlama pieredze sadarbībā ar starptautiskajām organizācijām tieslietu jomā; Pieredze ārvalstu finanšu instrumentu projektu plānošanā un ieviešanā; Teicamas angļu valodas zināšanas (vismaz C1 līmenis); Zināšanas un izpratne par Latvijas tiesu sistēmu; Izpratne par valsts pārvaldes uzbūvi un darbības pamatprincipiem; Sistemātiska pieeja jautājumu risināšanā, spēja uztvert un analizēt sarežģītu, liela apjoma informāciju dažādās jomās.";Court Administration
22;S;n/a;n/a;n/a;Bakalaurs;Tiesību zinātnēs;Maģistrs;Tiesību zinātnēs;n/a;n/a;1991;Jā;Jā;Jā;Jā;0;LV;TM;Projekta vadība;Vidējā līmeņa vadītājs;Departamenta vadītājs;noraidīts;2023;"Tu vadīsi projekta “Tieslietu akadēmijas izveide” ieviešanu, tai skaitā, mācību programmu izstrādi; Tu koordinēsi tiesnešu, prokuroru, tiesu un prokuratūras darbinieku apmācību procesu; Tu sadarbosies attīstības pasākumu plānošanā un ieviešanā tiesu darba efektivitātes un kvalitātes celšanai; Tu nodrošināsi starptautisko sadarbību departamenta kompetences jomā, tai skaitā, ar starptautiskām organizācijām.";"Atbilstība Valsts civildienesta likuma 7.panta prasībām; Maģistra grāds tiesību zinātnē vai citās sociālajās zinātnēs; Trīs gadu pieredze vadošā amatā; Vēlama pieredze sadarbībā ar starptautiskajām organizācijām tieslietu jomā; Pieredze ārvalstu finanšu instrumentu projektu plānošanā un ieviešanā; Teicamas angļu valodas zināšanas (vismaz C1 līmenis); Zināšanas un izpratne par Latvijas tiesu sistēmu; Izpratne par valsts pārvaldes uzbūvi un darbības pamatprincipiem; Sistemātiska pieeja jautājumu risināšanā, spēja uztvert un analizēt sarežģītu, liela apjoma informāciju dažādās jomās.";Court Administration
23;V;n/a;n/a;n/a;Bakalaurs;Sporta pedagogs/treneris;Maģistrs;Sabiedrības vadība;n/a;n/a;1992;Jā;Jā;Jā;Jā;3;LV;TM;Projekta vadība;Vidējā līmeņa vadītājs;Departamenta vadītājs;noraidīts;2023;"Tu vadīsi projekta “Tieslietu akadēmijas izveide” ieviešanu, tai skaitā, mācību programmu izstrādi; Tu koordinēsi tiesnešu, prokuroru, tiesu un prokuratūras darbinieku apmācību procesu; Tu sadarbosies attīstības pasākumu plānošanā un ieviešanā tiesu darba efektivitātes un kvalitātes celšanai; Tu nodrošināsi starptautisko sadarbību departamenta kompetences jomā, tai skaitā, ar starptautiskām organizācijām.";"Atbilstība Valsts civildienesta likuma 7.panta prasībām; Maģistra grāds tiesību zinātnē vai citās sociālajās zinātnēs; Trīs gadu pieredze vadošā amatā; Vēlama pieredze sadarbībā ar starptautiskajām organizācijām tieslietu jomā; Pieredze ārvalstu finanšu instrumentu projektu plānošanā un ieviešanā; Teicamas angļu valodas zināšanas (vismaz C1 līmenis); Zināšanas un izpratne par Latvijas tiesu sistēmu; Izpratne par valsts pārvaldes uzbūvi un darbības pamatprincipiem; Sistemātiska pieeja jautājumu risināšanā, spēja uztvert un analizēt sarežģītu, liela apjoma informāciju dažādās jomās.";Court Administration
24;S;1985;n/a;n/a;Bakalaurs;Politikas zinātnēs;Maģistrs;Politikas zinātnēs;n/a;n/a;2007;Jā;Nē;Nē;Jā;6;LV;TM;Projekta vadība;Vidējā līmeņa vadītājs;Departamenta vadītājs;izvēlēts;2023;"Tu vadīsi projekta “Tieslietu akadēmijas izveide” ieviešanu, tai skaitā, mācību programmu izstrādi; Tu koordinēsi tiesnešu, prokuroru, tiesu un prokuratūras darbinieku apmācību procesu; Tu sadarbosies attīstības pasākumu plānošanā un ieviešanā tiesu darba efektivitātes un kvalitātes celšanai; Tu nodrošināsi starptautisko sadarbību departamenta kompetences jomā, tai skaitā, ar starptautiskām organizācijām.";"Atbilstība Valsts civildienesta likuma 7.panta prasībām; Maģistra grāds tiesību zinātnē vai citās sociālajās zinātnēs; Trīs gadu pieredze vadošā amatā; Vēlama pieredze sadarbībā ar starptautiskajām organizācijām tieslietu jomā; Pieredze ārvalstu finanšu instrumentu projektu plānošanā un ieviešanā; Teicamas angļu valodas zināšanas (vismaz C1 līmenis); Zināšanas un izpratne par Latvijas tiesu sistēmu; Izpratne par valsts pārvaldes uzbūvi un darbības pamatprincipiem; Sistemātiska pieeja jautājumu risināšanā, spēja uztvert un analizēt sarežģītu, liela apjoma informāciju dažādās jomās.";Court Administration
25;S;n/a;n/a;n/a;Bakalaurs;Ekonomists;Maģistrs;Ekonomikā ;n/a;n/a;1996;Nē;Jā;Nē;Jā;10;LV;TM;Projekta vadība;Vidējā līmeņa vadītājs;Departamenta vadītājs;noraidīts;2023;"Tu vadīsi projekta “Tieslietu akadēmijas izveide” ieviešanu, tai skaitā, mācību programmu izstrādi; Tu koordinēsi tiesnešu, prokuroru, tiesu un prokuratūras darbinieku apmācību procesu; Tu sadarbosies attīstības pasākumu plānošanā un ieviešanā tiesu darba efektivitātes un kvalitātes celšanai; Tu nodrošināsi starptautisko sadarbību departamenta kompetences jomā, tai skaitā, ar starptautiskām organizācijām.";"Atbilstība Valsts civildienesta likuma 7.panta prasībām; Maģistra grāds tiesību zinātnē vai citās sociālajās zinātnēs; Trīs gadu pieredze vadošā amatā; Vēlama pieredze sadarbībā ar starptautiskajām organizācijām tieslietu jomā; Pieredze ārvalstu finanšu instrumentu projektu plānošanā un ieviešanā; Teicamas angļu valodas zināšanas (vismaz C1 līmenis); Zināšanas un izpratne par Latvijas tiesu sistēmu; Izpratne par valsts pārvaldes uzbūvi un darbības pamatprincipiem; Sistemātiska pieeja jautājumu risināšanā, spēja uztvert un analizēt sarežģītu, liela apjoma informāciju dažādās jomās.";Court Administration
